Name,Fax,CHx,SLx,Faz,CHz,SLz
Yhonathan Barrios,-7,-8.1,1.4,7.9,4,3.4
Vince Velasquez,-4.1,-7.3,2.5,10,4,0.6
C.J. Riefenhauser,3.6,5.4,-5.1,6.7,5.2,-0.9
Casey Sadler,-7.3,-9,1.5,7.3,2.6,2.1
Kevin Chapman,,9,-3.1,,5.3,0.1
Aaron Barrett,-3.6,-4.2,7.1,9.1,6.1,-0.6
Rob Rasmussen,7,8.5,0.6,8.7,5.7,2.1
Sean Nolin,2.6,6.8,-0.8,11.2,7.4,4.5
A.J. Achter,-1.2,-2.5,4.9,9.9,4.6,4.3
Daniel Burawa,-9.9,,2.9,3.9,,-0.5
Anthony Ranaudo,-4.3,-4.7,2.1,10.8,7.6,4.7
A.J. Schugel,-7.9,-9.6,,7.8,2.2,
Matt Grace,4.2,9.3,-0.7,10.5,3.8,0.3
Sammy Solis,10.3,9.5,,7.8,3,
A.J. Cole,-5.5,-7,3.5,8.7,4.9,2
Zach Lee,-3.5,-4.1,0.8,10.4,9.8,4.2
Dallas Beeler,,-8,,,3.8,
Bryan Mitchell,-5.9,-8,,9,6.4,
Robbie Ray,8.1,6.5,1.5,9.6,8,1.8
Aaron Sanchez,-5.1,-10.1,4.6,8.2,2.7,-0.2
Jeff Ferrell,-3.8,-7.5,,10.1,5.4,
Brandon Cunniff,-4.1,-7.8,6.3,9.8,2.3,2.6
Josh Osich,4.4,7.2,,7.5,8.2,
Jose Dominguez,-3.1,-5.2,2.2,9.1,0.7,2
Jose Urena,-5.3,-6.7,-0.3,9.1,6.7,3.9
Williams Perez,-9.7,-6.4,-7.4,3.1,0.4,5.1
Heath Hembree,-3.9,-7.5,1.8,10.5,6.3,4.4
Toru Murata,-1.1,,10.1,8.1,,1.6
Mayckol Guaipe,-4.5,-5.6,2.2,8.5,8,-0.3
Erik Goeddel,-4,,2,9.9,,4.9
Luke Jackson,-2,-4.6,,11.2,7.9,
Kyle Ryan,3.5,8.2,-4,7.8,5.3,-2.8
Justin Nicolino,,9.5,5.8,,4.7,0.5
Noah Syndergaard,-3.2,-8.4,3.2,10.2,4.8,1.2
Hansel Robles,-7.4,-7.7,-0.3,9.3,6.7,2.3
Hector Neris,-4.6,-10.4,0.5,9.3,4.7,2.9
Chris Martin,-2.1,2.4,3.7,8.2,6.9,-2.6
Brett Bochy,-4.5,-7.3,3.3,8.7,4.9,-0.9
Michael Feliz,-2.9,-6.1,3.6,10.4,8.8,1.8
David Rollins,5.5,10,2,8.8,4.7,1.2
Matt Andriese,-3.3,-2,,10.1,2.7,
J.R. Graham,-4.3,,3,9.4,,-0.5
Scott McGough,-8.7,-4.3,4.3,8.7,2.7,0.5
Felipe Vazquez,7.2,11.2,-5.4,8.4,0.9,-4.3
Branden Pinder,-3.5,,3.6,7.9,,1.6
Yimi Garcia,-6.4,-9.3,4.7,7.8,1.8,0.9
Kendry Flores,-1.2,-3.8,2.6,10.1,10.2,3.7
Jason Garcia,-4.1,-7.2,2.9,9.4,2.4,1.2
Matt Stites,-4.7,-5.1,2.1,9.4,8.9,1.3
David Goforth,-0.8,-6.3,,10.1,3.3,
Cody Martin,-3.5,-5.8,4.2,8.8,2.5,-0.4
Akeel Morris,-4.5,-3.5,2.8,9.7,4.3,0.1
Keith Hessler,4.8,,-1.3,9.1,,-1.2
Cody Hall,-5,-6.7,2,7.8,1.1,0.1
Dan Winkler,-2.7,-7.7,3.6,5.9,-1.9,-0.8
Matthew Tracy,8,9.1,,5.9,4.1,
Nefi Ogando,-4.4,-9.2,1.6,8.4,7.1,1.4
Colton Murray,-4.1,-3.3,1.2,9.8,7.3,2.9
Aaron Brooks,-6.5,-8.7,1.4,9.3,2.4,3.3
Leonel Campos,-3.9,,-0.3,10,,1.9
Evan Marshall,-4.6,-5.9,3.5,8.8,1.5,-2.8
Chris Bassitt,-5.6,-9,3.2,8,5,2.4
Colin Rea,-4.5,,,9.3,,
Spencer Patton,-4.1,-3.7,3.2,8.7,3.3,0.2
John Cornely,-3.3,,0.1,11.4,,1.6
Nick Tropeano,-8,-9.3,-0.1,8.5,6.1,-0.6
Drew Rucinski,-5.3,-6.5,6,9,5.6,0.9
Taylor Hill,-6.7,-8.6,3.3,8.3,4.6,1.5
Cory Mazzoni,-4.8,-5.4,5.8,8.6,4.7,-1.4
Jack Leathersich,5.9,9,,11.2,7.4,
Adam Morgan,7.1,7.9,0.6,10.6,7.7,3.5
Mike Wright Jr.,-4.8,-7.8,3.1,8.5,5.6,-0.7
Nathan Karns,-2.3,-7.4,,11.1,4.5,
Jerad Eickhoff,-3.7,-6.8,2.3,10.4,7.9,2.1
Guido Knudson,-5.5,-9.1,3.9,7.9,1.5,1.7
Phil Klein,-3.2,-7.9,,9.9,4.3,
Tyler Wilson,-0.3,-6,6.9,8.4,2.4,-0.2
Adrian Houser,-5.5,-7,,5.8,1.9,
Rafael Montero,-4.4,-6.3,4.2,9.5,6.8,-0.2
Jairo Diaz,-4.6,-3.8,1.2,8.1,9,2.5
Sean Gilmartin,5.5,7,-7.3,10.4,7.3,-0.8
Cody Anderson,-7,-9.7,-7.9,9.1,4.2,10.4
Noe Ramirez,-8.3,-6.1,6.6,5,-1.1,-1.2
Chris Reed,5.3,8.8,0.3,9.9,3.3,4.4
Matt Wisler,-4,-8.2,6.8,8.8,4.4,0.7
Alex Meyer,-8,,,8.6,,
Elvis Araujo,4.3,9.6,-1.2,10.6,6.6,2.2
Shawn Armstrong,-2.5,,3.9,9.4,,3.9
Matt Barnes,-5.6,-7.6,-1.6,9.7,6.2,4.7
Andrew McKirahan,2.4,9,0.8,8,4.9,-0.8
Tony Zych,-8.8,-7.6,6.7,7.2,6.6,2.7
Alex Claudio,,12.5,-1,,-1.9,0
Logan Verrett,-4.4,-7.8,-0.8,9.7,3.2,0
Ken Giles,-2.8,-6,0.2,9.8,2.8,0.6
Archie Bradley,-5,-4.9,,9.6,5.1,
Abel De Los Santos,-6.5,-5.8,-0.8,9.3,4.6,5.1
Joe Ross,-7.3,-8.8,-0.7,5.7,6.1,1.2
Andrew Faulkner,6.8,5.8,-0.3,6.2,1,-4.3
Andrew Chafin,7.2,7.4,1,9,6.2,-0.6
Anthony DeSclafani,-5.6,-8.5,1.3,9.6,3.7,3
Taylor Jungmann,-2.9,-6.8,,8.5,7,
Henry Owens,8,7.8,-3.6,9.9,5.8,1.8
Frank Garces,6.6,8.8,-5,7.8,6.6,-3.6
Eduardo Rodriguez,5.4,10.5,0,8.4,4.7,2.7
Carson Smith,-0.4,-7.3,5.8,-1.3,-2.1,-2
Zach Davies,-8.7,-8.7,,4.6,4.4,
Daniel Coulombe,3,4.4,0.9,9.9,10,3.4
James Pazos,9.8,,-0.7,7.2,,-1.6
Cam Bedrosian,-2.2,-6,4.7,11,7.3,-5.4
Steven Matz,12.9,10,-0.2,4.6,4.4,2.2
